Designator,Footprint,Quantity,Value,LCSC Part #
AE1,2.4GHz_Left_Soldermask,1,Antenna_Shield,
AE2,2.4GHz_Left_PC_ABS,1,Antenna_Shield,
"C1_2, C1",0201,2,1.5pF,
"C10_2, C12_2, C14_2, C15_2, C44, C5_2, C7_2",0603,7,4.7uF,
"C10, C11, C37, C38, C39, C41, C5, C6, C7, C9",0603,10,10uF,
C12,0402,1,470nF,
C13,0402,1,100nF,
"C14, C31",0402,2,2.2uF,
"C15, C16_2, C16, C18_2, C18, C32, C33, C34, C35",0402,9,1uF,
"C17_2, C17",0201,2,3.9pF,
"C19_2, C19, C28_2, C28",0201,4,2.2uF,
"C2_2, C2",0201,2,2pF,
"C20_2, C20, C21_2, C21, C22_2, C22, C25_2, C25",0201,8,100nF,
"C23_2, C23",0201,2,2.2nF,
"C24_2, C24",0402,2,0.1uF,
"C26_2, C26, C29_2, C29, C30_2, C30",0402,6,10uF,
"C27_2, C27",0201,2,10nF,
"C3_2, C6_2, C9_2",0603,3,1uF,
"C3, C36, C40",0402,3,4.7uF,
C4,0402,1,0.47uF,
"C8_2, C8",0201,2,0.3pF,
"D1_2, D2_2, D3_2",D_SOD-323,3,1N5819WS,
"D1, D2, D3, D4",D_SOD-123,4,MBR0530,
"FB1_2, FB1",0201,2,FerriteBead,
J1_2,HRS_FH34SRJ-24S-0.5SH_50_,1,FH34SRJ-24S-0.5SH_50_,
"J1, J5_2, J5, J6_2",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,
"J2_2, J2",USB_C_SHOU_HAN_6P,2,USB_C_Receptacle_PowerOnly_6P,
"J3_2, J3",BATTERY_HC-1.2-2PWT,2,BATTERY,
"J4_2, J4",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J7,HRS_FH34SRJ-50S-0.5SH_50_,1,FH34SRJ-50S-0.5SH_50_,
"L1_2, L1",0201,2,2.7nH,
"L2_2, L2, L3_2, L3",0201,4,3.5nH,
L4_2,L_Cenker_CKCS3012,1,47uH,
"L4, L6",L_Changjiang_FNR4012S,2,10uH,
"L5_2, L5",0603,2,4.7uH,
"MOUSE-BITE-3MM-SLOT_3, MOUSE-BITE-3MM-SLOT_2, MOUSE-BITE-3MM-SLOT",mouse-bite-3mm-slot,3,VAL**,
Q1_2,SOT-323_SC-70,1,Si1308EDL,
Q1,SOT95P237X111-3N,1,BSS138LT1G,
Q2,SOT-23,1,SI2301CDS-T1-GE3,
R1_2,0402,1,2.2,
"R1, R15, R3_2",0402,3,1M,
"R10_2, R12, R17, R18, R7_2, R7",0402,6,10k,
"R10, R11, R2_2, R2, R4_2, R4",0402,6,5.1k,
R13,0402,1,0.01,
R14,0402,1,0,
"R16, R3",0402,2,0.2,
"R5_2, R5",0201,2,1k,
"R6_2, R6",0402,2,5.4k,
"R8_2, R8",0402,2,2k,
"R9_2, R9",0402,2,100,
"U1_2, U1",DFN1006-2,2,ESD5451N,
"U2_2, U2",IC_BQ24045DSQR,2,BQ24040DSQR,
"U3_2, U3",QFN40P600X600X90-49N,2,NRF54L15-QFAA-R,
"U4_2, U4",UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,2,FH8614G1,
U5,BGA9C50P3X3_158X162X62,1,BQ27220YZFR,
"U6_2, U6",SOT-23-3,2,GR6206P332MR-G,
"Y2_2, Y2",Crystal_SMD_2016-4Pin_2.0x1.6mm,2,Crystal_GND24,
